age,tenure,monthly_charges,num_products,support_calls,churn,charge_per_tenure,support_intensity,is_high_value
22,58,26.21,2,1,0,0.4442372881355932,0.01694915254237288,0
58,53,65.83,4,0,0,1.219074074074074,0.0,0
52,40,32.9,1,6,1,0.8024390243902438,0.14634146341463414,0
40,63,35.23,2,6,0,0.55046875,0.09375,0
40,10,83.23,4,7,1,7.566363636363636,0.6363636363636364,1
62,66,59.29,4,9,0,0.8849253731343284,0.13432835820895522,0
22,61,112.19,2,4,1,1.8095161290322581,0.06451612903225806,1
54,36,51.92,3,8,1,1.4032432432432433,0.21621621621621623,0
28,53,92.62,1,7,1,1.7151851851851854,0.12962962962962962,1
22,37,66.11,1,2,0,1.7397368421052632,0.05263157894736842,0
45,20,86.0,2,8,1,4.095238095238095,0.38095238095238093,1
68,57,79.97,4,0,0,1.3787931034482759,0.0,1
56,18,67.28,3,5,1,3.5410526315789475,0.2631578947368421,0
57,23,115.01,2,9,1,4.792083333333333,0.375,1
55,37,54.27,2,6,1,1.4281578947368423,0.15789473684210525,0
58,60,37.72,1,9,1,0.6183606557377049,0.14754098360655737,0
44,28,87.81,2,0,0,3.0279310344827586,0.0,1
24,36,104.6,1,5,1,2.827027027027027,0.13513513513513514,1
61,3,24.03,1,7,0,6.0075,1.75,0
41,9,64.96,3,6,1,6.4959999999999996,0.6,0
44,4,109.25,1,8,1,21.85,1.6,1
37,6,94.96,1,4,1,13.565714285714284,0.5714285714285714,1
27,62,119.18,3,6,1,1.891746031746032,0.09523809523809523,1
66,60,73.14,2,4,1,1.199016393442623,0.06557377049180328,1
58,59,86.0,2,8,1,1.4333333333333333,0.13333333333333333,1
51,4,50.25,1,1,1,10.05,0.2,0
38,6,114.75,1,2,1,16.392857142857142,0.2857142857142857,1
60,20,56.63,2,0,0,2.6966666666666668,0.0,0
46,41,93.85,3,7,1,2.2345238095238096,0.16666666666666666,1
41,24,60.31,2,2,1,2.4124,0.08,0
41,35,76.18,3,3,0,2.1161111111111115,0.08333333333333333,1
29,13,91.98,3,8,1,6.57,0.5714285714285714,1
22,52,70.89,2,3,0,1.3375471698113208,0.05660377358490566,1
46,23,110.71,2,1,1,4.612916666666666,0.041666666666666664,1
64,5,61.93,2,0,0,10.321666666666667,0.0,0
21,53,84.71,1,2,0,1.5687037037037035,0.037037037037037035,1
62,65,54.24,3,9,0,0.8218181818181819,0.13636363636363635,0
61,2,69.43,3,5,1,23.143333333333334,1.6666666666666667,0
32,32,64.01,2,9,1,1.93969696969697,0.2727272727272727,0
50,59,32.58,2,2,0,0.5429999999999999,0.03333333333333333,0
26,51,29.17,2,3,0,0.5609615384615385,0.057692307692307696,0
57,61,86.75,3,1,0,1.3991935483870968,0.016129032258064516,1
54,30,85.55,4,3,0,2.759677419354839,0.0967741935483871,1
36,27,86.29,1,5,1,3.0817857142857146,0.17857142857142858,1
21,51,21.98,2,8,0,0.4226923076923077,0.15384615384615385,0
68,11,52.65,1,3,0,4.3875,0.25,0
41,17,39.78,2,7,1,2.21,0.3888888888888889,0
64,43,97.82,1,6,1,2.223181818181818,0.13636363636363635,1
53,48,106.06,2,2,0,2.1644897959183673,0.04081632653061224,1
58,9,44.67,2,9,1,4.4670000000000005,0.9,0
57,37,86.78,2,4,1,2.283684210526316,0.10526315789473684,1
28,26,32.94,2,1,0,1.22,0.037037037037037035,0
36,36,47.52,4,9,1,1.2843243243243243,0.24324324324324326,0
42,69,33.87,4,9,0,0.4838571428571428,0.12857142857142856,0
43,6,48.35,1,0,0,6.9071428571428575,0.0,0
20,71,87.47,2,9,1,1.2148611111111112,0.125,1
46,32,111.03,4,9,1,3.3645454545454547,0.2727272727272727,1
26,55,40.25,3,8,1,0.71875,0.14285714285714285,0
56,31,74.21,1,2,0,2.3190625,0.0625,1
53,23,90.14,3,6,1,3.7558333333333334,0.25,1
65,55,115.29,1,5,1,2.0587500000000003,0.08928571428571429,1
56,49,81.01,1,6,1,1.6202,0.12,1
37,11,45.51,3,6,0,3.7925,0.5,0
68,51,82.55,3,6,1,1.5875,0.11538461538461539,1
39,54,52.05,4,5,0,0.9463636363636363,0.09090909090909091,0
34,28,117.61,2,6,1,4.05551724137931,0.20689655172413793,1
65,66,59.97,4,5,0,0.8950746268656716,0.07462686567164178,0
37,46,88.54,2,0,0,1.8838297872340426,0.0,1
21,24,22.32,3,0,0,0.8928,0.0,0
42,1,60.01,1,9,1,30.005,4.5,0
59,48,69.43,1,9,1,1.4169387755102043,0.1836734693877551,0
27,15,81.02,4,5,1,5.06375,0.3125,1
42,54,64.39,4,1,0,1.1707272727272728,0.01818181818181818,0
24,38,113.59,4,7,1,2.9125641025641027,0.1794871794871795,1
53,34,105.4,2,1,0,3.0114285714285716,0.02857142857142857,1
42,12,52.22,1,3,0,4.016923076923077,0.23076923076923078,0
35,51,74.45,4,3,0,1.4317307692307693,0.057692307692307696,1
29,12,68.98,3,0,0,5.306153846153847,0.0,0
47,30,83.22,1,8,1,2.684516129032258,0.25806451612903225,1
52,60,53.41,4,5,0,0.8755737704918032,0.08196721311475409,0
66,66,44.42,4,3,0,0.6629850746268657,0.04477611940298507,0
40,71,111.27,2,5,0,1.5454166666666667,0.06944444444444445,1
26,69,112.39,4,0,0,1.6055714285714286,0.0,1
61,40,104.33,4,4,1,2.5446341463414632,0.0975609756097561,1
50,15,117.82,3,5,1,7.36375,0.3125,1
54,60,94.5,3,3,1,1.5491803278688525,0.04918032786885246,1
23,57,96.47,2,8,1,1.6632758620689656,0.13793103448275862,1
34,71,96.26,4,2,0,1.3369444444444445,0.027777777777777776,1
57,47,68.06,4,1,0,1.4179166666666667,0.020833333333333332,0
61,11,65.65,4,5,1,5.470833333333334,0.4166666666666667,0
40,36,44.02,3,8,0,1.1897297297297298,0.21621621621621623,0
59,32,84.48,1,3,1,2.56,0.09090909090909091,1
61,60,48.93,2,0,0,0.8021311475409836,0.0,0
38,28,45.78,2,9,1,1.5786206896551724,0.3103448275862069,0
64,24,78.6,4,4,0,3.1439999999999997,0.16,1
32,6,61.0,3,1,0,8.714285714285714,0.14285714285714285,0
30,60,41.89,3,6,0,0.6867213114754098,0.09836065573770492,0
53,54,101.61,1,3,1,1.8474545454545455,0.05454545454545454,1
51,3,106.06,4,9,1,26.515,2.25,1
25,31,36.77,2,2,0,1.1490625,0.0625,0
61,35,20.75,1,5,0,0.5763888888888888,0.1388888888888889,0
28,34,53.61,4,5,1,1.5317142857142858,0.14285714285714285,0
59,66,99.75,1,2,0,1.4888059701492538,0.029850746268656716,1
18,11,103.92,1,4,1,8.66,0.3333333333333333,1
59,22,33.83,1,1,0,1.4708695652173913,0.043478260869565216,0
58,13,97.43,2,6,1,6.9592857142857145,0.42857142857142855,1
58,18,31.57,1,7,1,1.661578947368421,0.3684210526315789,0
52,65,59.01,4,9,1,0.894090909090909,0.13636363636363635,0
42,67,119.86,3,3,1,1.7626470588235295,0.04411764705882353,1
54,4,39.26,2,2,0,7.851999999999999,0.4,0
32,45,35.4,1,5,0,0.7695652173913043,0.10869565217391304,0
58,17,62.28,2,6,1,3.46,0.3333333333333333,0
46,14,81.97,1,9,1,5.464666666666667,0.6,1
41,21,113.29,4,0,1,5.149545454545454,0.0,1
44,14,118.08,2,2,1,7.872,0.13333333333333333,1
47,35,26.96,2,2,0,0.7488888888888889,0.05555555555555555,0
19,71,33.8,1,2,0,0.4694444444444444,0.027777777777777776,0
25,42,99.07,1,4,1,2.303953488372093,0.09302325581395349,1
30,52,47.06,1,8,0,0.8879245283018868,0.1509433962264151,0
23,36,108.48,1,0,0,2.931891891891892,0.0,1
40,1,86.35,3,8,1,43.175,4.0,1
52,6,31.18,4,6,1,4.454285714285715,0.8571428571428571,0
52,20,103.25,4,6,1,4.916666666666667,0.2857142857142857,1
42,18,37.64,2,6,1,1.9810526315789474,0.3157894736842105,0
62,60,62.35,4,1,0,1.0221311475409836,0.01639344262295082,0
