age,tenure,monthly_charges,num_products,support_calls,churn
22,58,26.21,2,1,0
58,53,65.83,4,0,0
52,40,32.9,1,6,1
40,63,35.23,2,6,0
40,10,83.23,4,7,1
62,66,59.29,4,9,0
22,61,112.19,2,4,1
54,36,51.92,3,8,1
28,53,92.62,1,7,1
22,37,66.11,1,2,0
45,20,86.0,2,8,1
68,57,79.97,4,0,0
56,18,67.28,3,5,1
57,23,115.01,2,9,1
55,37,54.27,2,6,1
58,60,37.72,1,9,1
44,28,87.81,2,0,0
24,36,104.6,1,5,1
61,3,24.03,1,7,0
41,9,64.96,3,6,1
44,4,109.25,1,8,1
37,6,94.96,1,4,1
27,62,119.18,3,6,1
66,60,73.14,2,4,1
58,59,86.0,2,8,1
51,4,50.25,1,1,1
38,6,114.75,1,2,1
60,20,56.63,2,0,0
46,41,93.85,3,7,1
41,24,60.31,2,2,1
41,35,76.18,3,3,0
29,13,91.98,3,8,1
22,52,70.89,2,3,0
46,23,110.71,2,1,1
64,5,61.93,2,0,0
21,53,84.71,1,2,0
62,65,54.24,3,9,0
61,2,,3,5,1
32,32,64.01,2,9,1
50,59,32.58,2,2,0
26,51,29.17,2,3,0
57,61,86.75,3,1,0
54,30,85.55,4,3,0
36,27,86.29,1,5,1
21,51,21.98,2,8,0
68,11,52.65,1,3,0
41,17,39.78,2,7,1
64,43,97.82,1,6,1
53,48,106.06,2,2,0
58,9,44.67,2,9,1
57,37,86.78,2,4,1
28,26,32.94,2,1,0
36,36,47.52,4,9,1
42,69,33.87,4,9,0
43,6,48.35,1,0,0
20,71,87.47,2,9,1
46,32,111.03,4,9,1
26,55,40.25,3,8,1
56,31,74.21,1,2,0
53,23,90.14,3,6,1
65,55,115.29,1,5,1
56,49,81.01,1,6,1
37,11,45.51,3,6,0
68,51,82.55,3,6,1
39,54,52.05,4,5,0
34,28,117.61,2,6,1
65,66,59.97,4,5,0
37,46,88.54,2,0,0
21,24,22.32,3,0,0
42,1,60.01,1,9,1
59,48,,1,9,1
27,15,81.02,4,5,1
42,54,64.39,4,1,0
24,38,113.59,4,7,1
53,34,105.4,2,1,0
42,12,52.22,1,3,0
35,51,74.45,4,3,0
29,12,68.98,3,0,0
47,30,83.22,1,8,1
52,60,53.41,4,5,0
66,66,44.42,4,3,0
40,71,111.27,2,5,0
26,69,112.39,4,0,0
61,40,104.33,4,4,1
50,15,117.82,3,5,1
54,60,94.5,3,3,1
23,57,96.47,2,8,1
34,71,96.26,4,2,0
57,47,68.06,4,1,0
61,11,65.65,4,5,1
40,36,44.02,3,8,0
59,32,84.48,1,3,1
61,60,48.93,2,0,0
38,28,45.78,2,9,1
64,24,78.6,4,4,0
32,6,61.0,3,1,0
30,60,41.89,3,6,0
53,54,101.61,1,3,1
51,3,106.06,4,9,1
25,31,36.77,2,2,0
61,35,20.75,1,5,0
28,34,53.61,4,5,1
59,66,99.75,1,2,0
18,11,103.92,1,4,1
59,22,33.83,1,1,0
58,13,97.43,2,6,1
58,18,31.57,1,7,1
52,65,59.01,4,9,1
42,67,119.86,3,3,1
54,4,39.26,2,2,0
32,45,35.4,1,5,0
58,17,62.28,2,6,1
46,14,81.97,1,9,1
41,21,113.29,4,0,1
44,14,118.08,2,2,1
47,35,26.96,2,2,0
19,71,33.8,1,2,0
25,42,99.07,1,4,1
30,52,47.06,1,8,0
23,36,108.48,1,0,0
40,1,86.35,3,8,1
52,6,31.18,4,6,1
52,20,103.25,4,6,1
42,18,37.64,2,6,1
62,60,62.35,4,1,0
47,60,75.22,3,7,0
22,61,70.08,1,2,0
57,46,88.62,1,5,1
47,40,85.27,3,6,1
51,47,119.2,2,6,1
47,29,119.94,1,3,1
46,48,71.65,4,3,0
22,57,29.52,3,4,0
47,55,92.78,3,0,0
59,44,117.67,4,7,1
33,5,51.83,4,0,0
49,52,66.12,4,4,0
19,27,62.48,2,6,1
36,53,25.14,4,0,0
40,39,87.23,3,9,1
69,63,55.33,3,3,0
29,25,98.75,4,0,0
32,67,103.21,1,6,0
39,60,102.12,2,5,1
